Year_x,Country_x,Song,Artist_x,Songwriter(s),Running Order,Semi Final Points,Total Points,Location,#,Country_y,#.1,Artist_y,Language,Pl.,Sc.,Eurovision_Number,Year_y,Host_Country,Host_City,Lyrics,lyrics
1966,Austria,"Merci, Chérie",Udo Jürgens,"Udo Jürgens
Thomas Hörbiger",9.0,,31.0,Luxembourg,149,Austria,10,Udo Jürgens (3),German (French),1,31,11,1966,Luxembourg,Luxembourg City,"Merci
Merci
Merci für die Stunden Cherie
Cherie
Cherie uns're Liebe war schön
So schön
Merci Cherie
Sei nicht traurig muß ich auch von dir geh'n
Adieu
Adieu
Adieu
Deine Tränen tun weh
So weh
So weh
Unser Traum fliegt dahin
Dahin
Merci Cherie
Weine nicht
Auch das hat so seinen Sinn
Schau' nach vorn
Nicht zurück
Zwingen kann man kein Glück
Denn kein Meer ist so wild wie die Liebe
Die Liebe allein
Nur die kann so sein
So sein
So sein
Merci
Merci
Merci für die Stunden Cherie
Cherie
Cherie uns're Liebe war schön
So schön
Merci Cherie
So schön
So schön
Merci Cherie
So schön
So schön
Merci Cherie - Merci!","Thank you, thank you, thank you
For the hours, darling, darling, darling
Our love was beautiful, so beautiful, thank you, darling
Don't be sad, even though I have to leave you Goodbye, goodbye, goodbye
Your tears hurt, hurt so much, so much
Our dream flies away, away, thank you, darling
Don't cry, even this does make some sense Look ahead, don't look back, you can't force destiny
Because no sea is as wild as love
Only love can be like this
Can be like this, like this Thank you, thank you, thank you
For the hours, darling, darling, darling
Our love was beautiful, so beautiful, thank you, darling So beautiful, so beautiful, thank you, darling
So beautiful, so beautiful, thank you, darling"
1967,United Kingdom,Puppet on a String,Sandie Shaw,"Bill Martin
Phil Coulter",11.0,,47.0,Vienna,169,United Kingdom,10,Sandie Shaw,English,1,47,12,1967,Austria,Vienna,"[Chorus]
I wonder if one day that
You'll say that you care
If you say you love me madly
I'll gladly be there
Like a puppet on a string

[Verse 1]
Love is just like a merry-go-round
With all the fun of a fair
One day I'm feeling down on the ground
Then I'm up in the air
Are you leading me on?
Tomorrow will you be gone?

[Chorus]
I wonder if one day that
You'll say that you care
If you say you love me madly
I'll gladly be there
Like a puppet on a string

[Verse 2]
I may win on the roundabout
Then I'll lose on the swings
In or out, there is never a doubt
Just who's pulling the strings
I'm all tied up in you
But where's it leading me to?

[Chorus]
I wonder if one day that
You'll say that you care
If you say you love me madly
I'll gladly be there
Like a puppet on a string
I wonder if one day that
You'll say that you care
If you say you love me madly
I'll gladly be there
Like a puppet on a string

[Outro]
Like a puppet on a
String","[Chorus]
I wonder if one day that
You'll say that you care
If you say you love me madly
I'll gladly be there
Like a puppet on a string

[Verse 1]
Love is just like a merry-go-round
With all the fun of a fair
One day I'm feeling down on the ground
Then I'm up in the air
Are you leading me on?
Tomorrow will you be gone?

[Chorus]
I wonder if one day that
You'll say that you care
If you say you love me madly
I'll gladly be there
Like a puppet on a string

[Verse 2]
I may win on the roundabout
Then I'll lose on the swings
In or out, there is never a doubt
Just who's pulling the strings
I'm all tied up in you
But where's it leading me to?

[Chorus]
I wonder if one day that
You'll say that you care
If you say you love me madly
I'll gladly be there
Like a puppet on a string
I wonder if one day that
You'll say that you care
If you say you love me madly
I'll gladly be there
Like a puppet on a string

[Outro]
Like a puppet on a
String"
1968,Spain,"La, la, la",Massiel,"Manuel de la Calva
Ramón Arcusa (Dúo Dinámico)",15.0,,29.0,London,190,Spain,8,Massiel,Spanish,1,29,13,1968,United Kingdom,London,"[Intro]
La, la, la, la, la, la, la, la, la, la
La, la, la, la, la, la, la

[Estrofa 1]
Yo canto a la mañana
Que ve mi juventud
Y al sol que día a día
Nos trae nueva inquietud

[Estrofa 2]
Todo en la vida es
Como una canción
Te cantan cuando naces
Y también en el adiós

[Estribillo]
La, la, la, la, la, la, la, la, la, la
La, la, la, la, la, la, la, la
La, la, la, la, la, la, la, la, la, la
La, la, la, la, la, la, la

[Estrofa 3]
Le canto a mi madre
Que dio vida a mi ser
Le canto a la tierra
Que me ha visto crecer

[Estrofa 4]
Y canto al día en que
Sentí el amor
Andando por la vida
Aprendí esta canción

[Estribillo]
La, la, la, la, la, la, la, la, la, la
La, la, la, la, la, la, la
La, la, la, la, la, la, la, la, la, la
La, la, la, la, la, la, la

La, la, la, la, la, la, la, la, la, la
La, la, la, la, la, la, la
La, la, la, la, la, la, la, la, la, la
La, la, la, la, la, la, la

La, la, la","La la la la la la la la la la... I sing in the morning
That sees my childhood
And to the sun that day by day
Gives us new worries Everything in the life is
Like a song
Which is sung when you are born
And also in the God La la la la la la la la la la...
La la la la la la la la...
La la la la la la la la la la...
La la la la la la la... I sing it to my mother
Who gave life to my being
I sing it to the earth
That witnesses me believing And I sing to the day in which
I felt the love
Journeying the whole life
I learned this song La la la la la la la la la la...
La la la la la la la la...
La la la la la la la la la la...
La la la la la la la la..."
1969,Spain,Vivo cantando,Salomé,"María José de Cerato
Aniano Alcalde",3.0,,18.0,Madrid,195,Spain,9,Salomé,Spanish,1,18,14,1969,Spain,Madrid,"[Estrofa 1]
¿Cuántas noches vagando
Por mil caminos sin fin?
¿Cuántas noches callando?
Cuánto te quise decir

[Estrofa 2]
Una profunda esperanza
Y un eco lejano me hablaba de ti
Hoy que volviste a mi vida
Ya solo canto por ti

[Estribillo]
Desde que llegaste ya no vivo llorando
Vivo cantando, vivo soñando
Solo quiero que me digas qué está pasando
Que estoy temblando de estar junto a ti

Desde que llegaste ya no vivo llorando
Vivo cantando, vivo soñando
Pero me pregunto que tu amor hasta cuándo
Podré guardarlo muy dentro de mí

Desde que llegaste ya no vivo llorando
Vivo cantando, vivo soñando
Solo quiero que me digas qué está pasando
Que estoy temblando de estar junto a ti

Desde que llegaste ya no vivo llorando
Vivo cantando, vivo soñando
Pero me pregunto que tu amor hasta cuándo
Podré guardarlo muy dentro de mí

Desde que llegaste ya no vivo llorando
Vivo cantando, vivo soñando
Solo quiero que me digas qué está pasando
Que estoy temblando de estar junto a ti

Que estoy temblando de estar junto a ti","(Pa para para papa...)
(Pa para para papa...) How many nights I wandered
Through a thousand endless paths?
How many nights I kept silent
About what I wanted to say?
A deep hope
And a faraway echo was talking about you Today that you came to my life
I only sing for you Since you arrived, I don't live by crying
I live by singing, I live by dreaming
I just want you to tell me what's happening
Because I'm trembling when I'm by your side Since you arrived, I don't live by crying (hey)
I live by singing (hey), I live by dreaming (hey)
But I wonder how long I could keep
Your love deep inside of me (Pa para para papa...)
(Pa para para papa...) Since you arrived, I don't live by crying (hey)
I live by singing (hey), I live by dreaming (hey)
I just want you to tell me what's happening
Because I'm trembling when I'm by your side Since you arrived, I don't live by crying (hey)
I live by singing (hey), I live by dreaming (hey)
But I wonder how long I could keep
Your love deep inside of me Since you arrived, I don't live by crying (hey)
I live by singing (hey), I live by dreaming (hey)
I just want you to tell me what's happening
Because I'm trembling when I'm by your side
Because I'm trembling when I'm by your side (Pa para para papa...)
(Pa para para papa...) Hey, hey!"
1969,United Kingdom,Boom Bang-a-Bang,Lulu,"Alan Moorhouse
Peter Warne",7.0,,18.0,,199,United Kingdom,12,Lulu,English,1,18,14,1969,Spain,Madrid,"Lulu Boom Bang a Bang

Come closer, come closer and listen
The beat of my heart keeps on missing
I notice it most when we're kissing
Come closer and love me tonight
That's right
Come closer and cuddle me tight

My heart goes
Boom bang-a-bang, boom bang-a-bang
When you are near
Boom bang-a-bang, boom bang-a-bang
Loud in my ear
Pounding away, pounding away
Won't you be mine?
Boom bang-a-bang-bang all the time

It's such a lovely feeling
When I'm in your arms
Don't go away
I wanna stay my whole life through
Boom bang-a-bang-bang
Close to you

Your smile is so warm and inviting
The thought of your kiss is exciting
So hold me and don't keep me waiting
Come closer and love me tonight
That's right
Come closer and cuddle me tight

My heart goes
Boom bang-a-bang, boom bang-a-bang
When you are near
Boom bang-a-bang, boom bang-a-bang
Loud in my ear
Pounding away, pounding away
Won't you be mine?
Boom bang-a-bang-bang all the time

It's such a lovely feeling
When I'm in your arms
Now you are near
I wanna hear your heartbeat too
Boom bang-a-bang-bang
I love you

It's such a lovely feeling
When I'm in your arms
Now you are near
I wanna hear your heartbeat too
Boom bang-a-bang-bang
Boom bang-a-bang-bang
Boom bang-a-bang-bang
I love you","Lulu Boom Bang a Bang

Come closer, come closer and listen
The beat of my heart keeps on missing
I notice it most when we're kissing
Come closer and love me tonight
That's right
Come closer and cuddle me tight

My heart goes
Boom bang-a-bang, boom bang-a-bang
When you are near
Boom bang-a-bang, boom bang-a-bang
Loud in my ear
Pounding away, pounding away
Won't you be mine?
Boom bang-a-bang-bang all the time

It's such a lovely feeling
When I'm in your arms
Don't go away
I wanna stay my whole life through
Boom bang-a-bang-bang
Close to you

Your smile is so warm and inviting
The thought of your kiss is exciting
So hold me and don't keep me waiting
Come closer and love me tonight
That's right
Come closer and cuddle me tight

My heart goes
Boom bang-a-bang, boom bang-a-bang
When you are near
Boom bang-a-bang, boom bang-a-bang
Loud in my ear
Pounding away, pounding away
Won't you be mine?
Boom bang-a-bang-bang all the time

It's such a lovely feeling
When I'm in your arms
Now you are near
I wanna hear your heartbeat too
Boom bang-a-bang-bang
I love you

It's such a lovely feeling
When I'm in your arms
Now you are near
I wanna hear your heartbeat too
Boom bang-a-bang-bang
Boom bang-a-bang-bang
Boom bang-a-bang-bang
I love you"
1969,Netherlands,De troubadour,Lenny Kuhr,"David Hartsema
Lenny Kuhr",8.0,,18.0,,200,Netherlands,14,Lenny Kuhr,Dutch,1,18,14,1969,Spain,Madrid,"Hij zat zo boordevol muziek
Hij zong voor groot en klein publiek
Hij maakte blij, melancholiek
De troubadour
Voor ridders in de hoge zaal
Zong hij in stoere, sterke taal
Een lang en bloederig verhaal
De troubadour
Maar ook het werkvolk uit de schuur
Hoorde zijn lied vol avontuur
Hoorde bij 't nacht'lijk keukenvuur
De troubadour, de troubadour
En in de herberg van de stad
Zong hij een drinklied op 't nat
Voor wie nog staan kon en wie zat
De troubadour, de troubadour
La, la, la, la, la, la, lei, la, la, lei, la, la
La, la, la, lei, la, la, la
La, la, la, la, la, la, lei, la, la, lei, la, la
La, la, la, lei, la, la, la
Hij zong in't klooster stil zijn lied
Van een mirakel dat geschiedt
Ook als geen mens het wonder ziet
De troubadour
Van vrouwen in fluweel of grijs
Zong hij de harten van de wijs
Zijn liefdeslied ging mee op reis
De troubadour
Hij zong voor boeren op 't land
Een kerelslied van eigen hand
Hij was van elke rang en stand
De troubadour, de troubadour
Zo zong hij heel zijn leven lang
Zijn eigen lied, zijn eigen zang
Toch gaat de dood gewoon zijn gang
De troubadour, de troubadour
Toen werd het stil, het lied was uit
Enkel wat modder tot besluit
Maar wie getroost werd door zijn lied
Vergeet hem niet
Want hij zat zo boordevol muziek
Hij zong voor groot en klein publiek
Hij maakte blij, melancholiek
De troubadour
La, la, la, la, la, la, lei, la, la, lei, la, la
La, la, la, lei, la, la, la
La, la, la, la, la, la, lei, la, la, lei, la, la
La, la, la, lei, la, la, la
La, la, la, la, la, la, lei, la, la, lei, la, la
La, la, la, lei, la, la, la
La, la, la, la, la, la, lei, la, la, lei, la, la
La, la, la, lei, la, la, la
Ja, ho, ha, ho","He was so full of music,
He sang for big and small audiences,
He made you happy, melancholy,
The troubadour For knights in the high hall,
He sang in though, strong language,
A long and bloody story,
The troubadour But also the workers from the shed,
Heard his song of adventure,
Belonged to the nightly kitchen fire,
The troubadour, the troubadour And at the inn of the city,
He sang a drinking song in the wet,
For who still could stand and who sat,
The troubadour, the troubadour La, la, la, la, la, la, lei, la, la, lei, la, la
La, la, la, lei, la, la, la
La, la, la, la, la, la, lei, la, la, lei, la, la
La, la, la, lei, la, la, la He sang his song quiet in the monastry,
Of a miracle that happened,
Even if no one sees the miracle,
The troubadour Of women in velvet or in gray,
He made the hearts confused,
His love song went along for the trip,
The troubadour He sang for farmes on the land,
A dude song of his own,
He was in every walk of life,
The troubadour, the troubadour So he sang for all his life,
His own song, his own voice,
Yet the death goes his own way,
The troubadour, the troubadour Then it became quiet, the song was over,
Only some mud remains,
But who was comforted by his song,
Will remember him, Cause he was so full of music,
He sang for large and small audiences,
He made you happy, melancholy,
The troubadour La, la, la, la, la, la, lei, la, la, lei, la, la
La, la, la, lei, la, la, la
La, la, la, la, la, la, lei, la, la, lei, la, la
La, la, la, lei, la, la, la La, la, la, la, la, la, lei, la, la, lei, la, la
La, la, la, lei, la, la, la
La, la, la, la, la, la, lei, la, la, lei, la, la
La, la, la, lei, la, la, la Ja, ho, ha, ho"
1969,France,"Un jour, un enfant",Frida Boccara,"Émile Stern
Eddy Marnay",14.0,,18.0,,206,France,14,Frida Boccara,French,1,18,14,1969,Spain,Madrid,"Un jour se lèvera
Sur trois branches de lilas
Qu'un enfant regardera
Comme un livre d'images
Le monde autour de lui
Sera vide et c'est ainsi
Qu'il inventera la vie
A sa première page

En dessinant
La forme d'une orange
Il donnera au ciel
Son premier soleil
En dessinant l'oiseau
Il inventera la fleur
En cherchant le bruit de l'eau
Il entendra le cri du cœur

En dessinant
Les branches d'une étoile
Il trouvera l'enfant
Le chemin des grands
Des grands qui ont gardé
Un regard émerveillé
Pour les fruits de chaque jour
Et pour les roses de l'amour","A day will dawn
Over three branches of lilacs
That a child will behold
Just like a picture book The world around him
Will be empty, and so
He'll imagine life
From a blank page By drawing the shape of an orange
He'll give the sky its first sun
By drawing the bird
He'll invent the flowers
By searching the sound of the water
He'll hear the cry of the heart By drawing the points of a star
This very child will find the path
Of the grown people who still
Look amazed
At the fruits of every day
And at the roses of love"
1970,Ireland,All Kinds of Everything,Dana,"Derry Lindsay
Jackie Smith",12.0,,32.0,Amsterdam,220,Ireland,6,Dana,English,1,32,15,1970,Netherlands,Amsterdam,"Snowdrops and daffodils
Butterflies and bees
Sailboats and fishermen
Things of the sea
Wishing-wells
Wedding bells
Early morning dew
All kinds of everything remind me of you

Seagulls and aeroplanes
Things of the sky
Winds that go howlin'
Breezes that sigh
City sights
Neon lights
Grey skies or blue
All kinds of everything remind me of you

Summertime
Wintertime
Spring and autumn too
Monday
Tuesday every day
I think of you
Dances
Romances
Things of the night
Sunshine and holidays
Postcards to write
Budding trees
Autumn leaves
A snowflake or two
All kinds of everything remind me of you

Summertime
Wintertime
Spring and autumn too
Seasons will never change
The way that I love you

Dances
Romances
Things of the night
Sunshine and holidays
Postcards to write
Budding trees
Autumn leaves
A snowflake or two
All kinds of everything remind me of you
All kinds of everything remind me of you","Snowdrops and daffodils
Butterflies and bees
Sailboats and fishermen
Things of the sea
Wishing-wells
Wedding bells
Early morning dew
All kinds of everything remind me of you

Seagulls and aeroplanes
Things of the sky
Winds that go howlin'
Breezes that sigh
City sights
Neon lights
Grey skies or blue
All kinds of everything remind me of you

Summertime
Wintertime
Spring and autumn too
Monday
Tuesday every day
I think of you
Dances
Romances
Things of the night
Sunshine and holidays
Postcards to write
Budding trees
Autumn leaves
A snowflake or two
All kinds of everything remind me of you

Summertime
Wintertime
Spring and autumn too
Seasons will never change
The way that I love you

Dances
Romances
Things of the night
Sunshine and holidays
Postcards to write
Budding trees
Autumn leaves
A snowflake or two
All kinds of everything remind me of you
All kinds of everything remind me of you"
1971,Monaco,"Un banc, un arbre, une rue",Séverine,"Jean-Pierre Bourtayre
Yves Dessca",3.0,,128.0,Dublin,223,Monaco,13,Séverine,French,1,128,16,1971,Ireland,Dublin,"On a tous un banc, un arbre, une rue
Où l'on a bercé nos rêves
On a tous un banc, un arbre, une rue
Une enfance trop brève

Un jour ou l'autre il faut partir
Pour se construire un avenir
Un avenir
Et c'est l'inoubliable instant
Où l'on rend ses habits d'enfant
D'enfant

Chacun s'en va rempli d'espoir
Sur le chemin qu'il s'est choisi
Qu'il s'est choisi
Vers la richesse ou vers la gloire
Pourtant quelle que soit notre vie
Notre vie

On a tous un banc, un arbre, une rue
Où l'on a bercé nos rêves
On a tous un banc, un arbre, une rue
Une enfance trop brève

Chacun, dans son coin d'horizon
Ne défend que ses ambitions
Ses ambitions
Mais si nous ne partageons rien
Que nous reste-t-il en commun?
En commun

On a tous un banc, un arbre, une rue
Où l'on a bercé nos rêves
On a tous un banc, un arbre, une rue
Une enfance trop brève

La la la la la… la la la la la la…
La la la la la la la la","We all have a bench, a tree, a street
Where we cherished our dreams
We all have a bench, a tree, a street
A childhood that has been too short One day or another we have to leave
To build a future, a future
And it's the unforgettable instant
When we return our child clothes, child clothes Everyone goes, filled with hope
On the road that they chose, that they chose
To the richness or to the glory
Yet what our life will be, our life We all have a bench, a tree, a street
Where we cherished our dreams
We all have a bench, a tree, a street
A childhood that has been too short Everyone, in his corner of the horizon
Only defends their ambitions, their ambitions
But if we share nothing
What will be left for us in common, in common? We all have a bench, a tree, a street
Where we cherished our dreams
We all have a bench, a tree, a street
A childhood that has been too short Lalala lala...
Lala lala lala...
Lalala lalala lala..."
1972,Luxembourg,Après toi,Vicky Leandros,"Leo Leandros
Klaus Munro
Yves Dessca",17.0,,128.0,Edinburgh,255,Luxembourg,16,Vicky Leandros (2),French,1,128,17,1972,United Kingdom,Edinburgh,"Tu t'en vas
L'amour a pour toi
Le sourire d'une autre
Je voudrais mais ne peux t'en vouloir
Dsormais
Tu vas m'oublier
Ce n'est pas de ta faute
Et pourtant tu dois savoir
Qu'aprs toi
Je ne pourrai plus vivre, non plus vivre
Qu'en souvenir de toi
Aprs toi
J'aurai les yeux humides
Les mains vides, le cur sans joie
Avec toi
J'avais appris rire
Et mes rires ne viennent que par toi
Aprs toi je ne serai que l'ombre
De ton ombre
Aprs toi
Mme une jour si je fais ma vie
Si je tiens la promesse
Qui unit peut-tre pour toujours
Aprs toi
Je pourrai peut-tre
Donner de ma tendresse
Mais plus rien de mon amour
Aprs toi
Je ne pourrai plus vivre, non plus vivre
Qu'en souvenir de toi
Aprs toi
J'aurai les yeux humides
Les mains vides, le cur sans joie
Avec toi
J'avais appris rire
Et mes rires ne viennent que par toi
Aprs toi je ne serai que l'ombre
De ton ombre
Aprs toi","You go, in you
Love has for you
The smile of another
I would like but cannot want in you.
From now on,
You have my help
This is not your fault
But,  however, you must know That after you
I will not be able to live anymore, to live no more
That in remembering you
After you,
I will have wet eyes
The empty hands, the heart without joy.
With you,
I had learned how to laugh
And my laughter comes only by you.
After you, I will be only a shadow...
Of your shadow....
After you... Even a day, if I make my life,
If I hold the promise
Who links two beings (perhaps) forever
After you
I might be able
To give my tenderness
But not my love After you
I will not be able to live anymore, to live no more
That in remembering you
After you,
I will have wet eyes
The empty hands, the heart without joy.
With you,
I had learned how to laugh
And my laughter comes only by you.
After you, I will be only a shadow...
Of your shadow....
After you..."
1973,Luxembourg,Tu te reconnaîtras,Anne-Marie David,"Claude Morgan
Vline Buggy",11.0,,129.0,Luxembourg,267,Luxembourg,17,Anne-Marie David,French,1,129,18,1973,Luxembourg,Luxembourg City,"Dans les rêves de l’enfance
Dans l’élève que le maître a puni
Dans la gare où commence
La première aventure de la vie

Dans celui qui doute
Dans celui qui croit

Tu verras, tu te reconnaîtras
À chaque instant dans chaque joie, dans chaque larme
Tu verras, tu te reconnaîtras
Dans cet enfant, parmi ces gens, tous comme toi

Dans les rêves de l’artiste
Que la gloire n’a jamais couronné
Dans ce monde égoïste
Qui renie ce qu’il a adoré

Dans ceux qui ont peur
Dans ceux qui ont froid

Tu verras, tu te reconnaîtras
À chaque instant dans chaque joie, dans chaque larme
Tu verras, tu te reconnaîtras
Dans cet enfant, parmi ces gens, tous comme toi

Tu verras, tu te reconnaîtras
Dans cet amour que j’ai pour toi
Oui, tu verras, tu te reconnaîtras","In childhood dreams
In the student whom the master punished
In the station where
The first adventure of your life begins In those who doubt
In those who believe You'll see, you'll recognize yourself
At every moment in every joy, every tear
You'll see, you'll recognize yourself
In this child, among these people, as you all In the dreams of the artist
Whom glory has never crowned
In this selfish world
Who denies that which he loved In those who fear
In those who are cold You will see, you will recognize yourself
At every moment, in every joy, in every tear
You will see, you will recognize yourself
In this child, among these people, all like you You will see, you will recognize yourself
In this love I have for you
Yes, you will see, you will recognize yourself"
1974,Sweden,Waterloo,ABBA,"Benny Andersson
Björn Ulvaeus
Stig Anderson",8.0,,24.0,Brighton,281,Sweden,15,ABBA,English,1,24,19,1974,United Kingdom,Brighton,"[Verse 1]
My, my - at Waterloo, Napoleon did surrender
Oh, yeah - and I have met my destiny in quite a similar way

[Pre-Chorus]
The history book on the shelf
Is always repeating itself

[Chorus]
Waterloo, I was defeated, you won the war
Waterloo, promise to love you forevermore
Waterloo, couldn't escape if I wanted to
Waterloo, knowing my fate is to be with you
Wa-Wa-Wa-Wa-Waterloo
Finally facing my Waterloo

[Verse 2]
My, my - I tried to hold you back, but you were stronger
Oh, yeah - and now it seems my only chance is giving up the fight

[Pre-Chorus]
And how could I ever refuse?
I feel like I win when I lose

[Chorus]
Waterloo, I was defeated, you won the war
Waterloo, promise to love you forevermore
Waterloo, couldn't escape if I wanted to
Waterloo, knowing my fate is to be with you
Wa-Wa-Wa-Wa-Waterloo
Finally facing my Waterloo

[Pre-Chorus]
So how could I ever refuse?
I feel like I win when I lose

[Outro]
Waterloo, couldn't escape if I wanted to
Waterloo, knowing my fate is to be with you
Wa-Wa-Wa-Wa-Waterloo
Finally facing my Waterloo
Woo, Waterloo, knowing my fate is to be with you
Wa-Wa-Wa-Wa-Waterloo
Finally facing my Waterloo
Woo, Waterloo, knowing my fate is to be with you","[Verse 1]
My, my - at Waterloo, Napoleon did surrender
Oh, yeah - and I have met my destiny in quite a similar way

[Pre-Chorus]
The history book on the shelf
Is always repeating itself

[Chorus]
Waterloo, I was defeated, you won the war
Waterloo, promise to love you forevermore
Waterloo, couldn't escape if I wanted to
Waterloo, knowing my fate is to be with you
Wa-Wa-Wa-Wa-Waterloo
Finally facing my Waterloo

[Verse 2]
My, my - I tried to hold you back, but you were stronger
Oh, yeah - and now it seems my only chance is giving up the fight

[Pre-Chorus]
And how could I ever refuse?
I feel like I win when I lose

[Chorus]
Waterloo, I was defeated, you won the war
Waterloo, promise to love you forevermore
Waterloo, couldn't escape if I wanted to
Waterloo, knowing my fate is to be with you
Wa-Wa-Wa-Wa-Waterloo
Finally facing my Waterloo

[Pre-Chorus]
So how could I ever refuse?
I feel like I win when I lose

[Outro]
Waterloo, couldn't escape if I wanted to
Waterloo, knowing my fate is to be with you
Wa-Wa-Wa-Wa-Waterloo
Finally facing my Waterloo
Woo, Waterloo, knowing my fate is to be with you
Wa-Wa-Wa-Wa-Waterloo
Finally facing my Waterloo
Woo, Waterloo, knowing my fate is to be with you"
1976,United Kingdom,Save Your Kisses for Me,Brotherhood of Man,"Tony Hiller
Lee Sheriden
Martin Lee",1.0,,164.0,The Hauge,310,United Kingdom,19,Brotherhood of Man,English,1,164,21,1976,Netherlands,The Hague,"[Verse 1]
Though it hurts to go away, it's impossible to stay
But there's one thing I must say before I go
I love you (I love you), you know
I'll be thinking of you in most everything I do
Now the time is moving on and I really should be gone
But you keep me hanging on for one more smile
I love you (I love you), all the while
With your cute little way will you promise that you'll save

[Chorus]
Your kisses for me, save all your kisses for me
Bye, bye, baby, bye, bye
Don't cry, honey, don't cry
Gonna walk out the door
But I'll soon be back for more
Kisses for me, save all your kisses for me
So long, honey, so long
Hang on, baby, hang on
Don't you dare me to stay
'Cause you know I'll have to say

[Verse 2]
That I've got to work each day and that's why I go away
But I count the seconds 'til I'm home with you
I love you (I love you), it's true
You're so cute, honey gee, won't you save them up for me

[Chorus]
Your kisses for me, save all your kisses for me
Bye, bye, baby, bye, bye
Don't cry, honey, don't cry
Gonna walk out the door
But I'll soon be back for more
Kisses for me, save all your kisses for me
So long, honey, so long
Hang on, baby, hang on
Don't you dare me to stay
'Cause you know you've got to save
Your kisses for me, save all your kisses for me
Bye, bye, baby, bye, bye
Don't cry, honey, don't cry
Won't you save them for me even though you're only three","[Verse 1]
Though it hurts to go away, it's impossible to stay
But there's one thing I must say before I go
I love you (I love you), you know
I'll be thinking of you in most everything I do
Now the time is moving on and I really should be gone
But you keep me hanging on for one more smile
I love you (I love you), all the while
With your cute little way will you promise that you'll save

[Chorus]
Your kisses for me, save all your kisses for me
Bye, bye, baby, bye, bye
Don't cry, honey, don't cry
Gonna walk out the door
But I'll soon be back for more
Kisses for me, save all your kisses for me
So long, honey, so long
Hang on, baby, hang on
Don't you dare me to stay
'Cause you know I'll have to say

[Verse 2]
That I've got to work each day and that's why I go away
But I count the seconds 'til I'm home with you
I love you (I love you), it's true
You're so cute, honey gee, won't you save them up for me

[Chorus]
Your kisses for me, save all your kisses for me
Bye, bye, baby, bye, bye
Don't cry, honey, don't cry
Gonna walk out the door
But I'll soon be back for more
Kisses for me, save all your kisses for me
So long, honey, so long
Hang on, baby, hang on
Don't you dare me to stay
'Cause you know you've got to save
Your kisses for me, save all your kisses for me
Bye, bye, baby, bye, bye
Don't cry, honey, don't cry
Won't you save them for me even though you're only three"
1977,France,L'oiseau et l'enfant,Marie Myriam,"Jean-Paul Cara
Joe Gracy",18.0,,135.0,London,345,France,21,Marie Myriam,French,1,136,22,1977,United Kingdom,London,"Comme un enfant aux yeux de lumière
Qui voit passer au loin les oiseaux
Comme l'oiseau bleu survolant la terre
Vois comme le monde, le monde est beau

Beau le bateau dansant sur les vagues
Ivre de vie, d'amour et de vent
Belle la chanson, naissante des vagues
Abandonnée au sable blanc

Blanc l'innocent, le sang du poète
Qui en chantant invente l'amour
Pour que la vie s'habille de fête
Et que la nuit se change en jour

Jour d'une vie ou l'aube se lève
Pour réveiller la ville aux yeux lourds
Où les matins effeuillent les rêves
Pour nous donner un monde d'amour

Refrain :
L'amour c'est toi
L'amour c'est moi
L'oiseau c'est toi
L'enfant c'est moi

Moi je ne suis qu'une fille de l'ombre
Qui vois briller l'étoile du soir
Toi mon étoile qui tisse ma ronde
Viens allumer mon soleil noir

Noir la misère,les hommes et la guerre
Qui croient tenir les rènes du temps
Pays d'amour n'a pas de frontières
Pour ceux qui ont un coeur d'enfant

Comme un enfant aux yeux de lumière
Qui voit passer au loin les oiseaux
Comme l'oiseau bleu survolant la Terre
Nous trouverons ce monde d'amour

Refrain :
L'amour c'est toi
L'amour c'est moi
L'oiseau c'est toi
L'enfant c'est moi

L'oiseau c'est toi
L'enfant c'est moi
L'oiseau c'est toi
L'enfant c'est moi","Like a child with light in the eyes
Who sees birds flying away
Like the blue bird flying over the earth
See how the world, the world is beautiful. Beautiful the boat with dance on vogues
Drunk of life, of love and of wind
Beautiful the song of emerging vogues
Deserted with white sand White the innocent, the blood of the poet
Who invent the love while singing
So that the life dress up party
And that the night turns into day Day of a life where the dawn is rising
To wake up the city with heavy eyes
Where mornings flakes the dreams
To give us a world of love Love is you, love is me
The bird is you, the child is me. I am just a girl of shade
Who sees shine the evening star
You my star who weaves my round
Come turn on my black sun Black the misery, the humans and the war
Who believe that they hold the reins of time
Country of love do not have borders
For those who have a child heart Like a childwith light in the eyes
Who sees birds flying away
Like the blue bird flying over the earth
See how the world, how the world is beautiful Love is you, love is me
The bird is you, the child is me
The bird is you, the child is me."
