Year,Country,Song,Artist,Songwriter(s),Running Order,Semi Final Points,Total Points,Location
1989,Yugoslavia,Rock Me,Riva,"Rajko Dujmić
Stevo Cvikić",22.0,,137.0,Lausanne
1990,Italy,Insieme: 1992,Toto Cutugno,Toto Cutugno,19.0,,149.0,Zagreb
1991,Sweden,Fångad av en stormvind,Carola,Stephan Berg,8.0,,146.0,Rome
1992,Ireland,Why Me?,Linda Martin,Johnny Logan,17.0,,155.0,Malmö
1993,Ireland,In Your Eyes,Niamh Kavanagh,Jimmy Walsh,14.0,,187.0,Millstreet
1994,Ireland,Rock 'n' Roll Kids,Paul Harrington and Charlie McGettigan,Brendan Graham,3.0,,226.0,Dublin
1995,Norway,Nocturne,Secret Garden,"Rolf Løvland
Petter Skavlan",5.0,,148.0,Dublin
1996,Ireland,The Voice,Eimear Quinn,Brendan Graham,17.0,,162.0,Oslo
1997,United Kingdom,Love Shine a Light,Katrina and the Waves,Kimberley Rew,24.0,,227.0,Dublin
1998,Israel,Diva (דיווה),Dana International,"Svika Pick
Yoav Ginai",8.0,,172.0,Birmingham
1999,Sweden,Take Me to Your Heaven,Charlotte Nilsson,"Lars Diedricson
Marcos Ubeda",15.0,,163.0,Jerusalem
2000,Denmark,Fly on the Wings of Love,Olsen Brothers,Jørgen Olsen,14.0,,195.0,Stockholm
2001,Estonia,Everybody,"Tanel Padar, Dave Benton and 2XL","Ivar Must
Maian-Anna Kärmas",20.0,,198.0,Copenhagen
2002,Latvia,I Wanna,Marie N,"Marija Naumova
Marats Samauskis",23.0,,176.0,Tallinn
2003,Turkey,Everyway That I Can,Sertab Erener,"Demir Demirkan
Sertab Erener",4.0,,167.0,Riga
2004,Ukraine,Wild Dances,Ruslana,"Ruslana Lyzhychko
Alexandr Ksenofontov",10.0,256.0,280.0,Istanbul
2005,Greece,My Number One,Helena Paparizou,"Manos Psaltakis
Christos Dantis
Natalia Germanou",19.0,,230.0,Kyiv
2006,Finland,Hard Rock Hallelujah,Lordi,Lordi,17.0,292.0,292.0,Athens
2007,Serbia,Molitva (Молитва),Marija Šerifović,"Vladimir Graić
Saša Milošević Mare",17.0,298.0,268.0,Helsimki
2008,Russia,Believe,Dima Bilan,Dima Bilan,24.0,135.0,272.0,Belgrade
2009,Norway,Fairytale,Alexander Rybak,Alexander Rybak,20.0,201.0,387.0,Moscow
2010,Germany,Satellite,Lena,"Julie Frost
John Gordon ",22.0,,246.0,Oslo
2011,Azerbaijan,Running Scared,Ell and Nikki,"Stefan Örn
Sandra Bjurman
Iain James Farquharson",19.0,122.0,221.0,Dussëldorf
2012,Sweden,Euphoria,Loreen,"Thomas G:son
Peter Boström",17.0,181.0,372.0,Baku
2013,Denmark,Only Teardrops,Emmelie de Forest,"Lise Cabble
Julia Fabrin Jakobsen
Thomas Stengaard",18.0,167.0,281.0,Malmö
2014,Austria,Rise Like a Phoenix,Conchita Wurst,"Charlie Mason
Joey Patulka
Ali Zuckowski
Julian Maas",11.0,169.0,290.0,Copenhagen
2015,Sweden,Heroes,Måns Zelmerlöw,"Anton Hård af Segerstad
Joy Deb
Linnea Deb",10.0,217.0,365.0,Vienna
2016,Ukraine,1944,Jamala,Jamala,21.0,287.0,534.0,Stockholm
2017,Portugal,Amar pelos dois,Salvador Sobral,Luísa Sobral,11.0,370.0,758.0,Kyiv
2018,Israel,Toy,Netta,"Doron Medalie
Stav Beger",22.0,283.0,529.0,Lisbon
2019,Netherlands,Arcade,Duncan Laurence,"Duncan Laurence
Joel Sjöö
Wouter Hardy
Will Knox",12.0,280.0,498.0,Tel Aviv
2020,Contest cancelled due to the COVID-19 pandemic,,,,,,,
2021,Italy,Zitti e buoni,Måneskin,"Damiano David
Ethan Torchio
Thomas Raggi
Victoria De Angelis",24.0,,524.0,Rotterdam
2022,Ukraine,Stefania (Стефанія),Kalush Orchestra,"Ihor Didenchuk
Ivan Klymenko
Oleh Psiuk
Tymofii Muzychuk
Vitalii Duzhyk",12.0,337.0,631.0,Turin
