Song,English Lyrics
So geht das jede Nacht,"On Sunday with Jimmy, on Monday with Jack
On Tuesday you go off with Johnny That's how it is every night (That's how it is every night)
That's how it is every night (That's how it is every night)
I've never, never thought that of you I give you flowers and drive you to the office
Take your mother every Sunday to the zoo
But on Wednesday Billy brings you home
And on Thursday you go out with Tommy That's how it is every night (That's how it is every night)
That's how it is every night (That's how it is every night)
I've never, never thought that of you I've loved you since you were a baby
Now I've been practicing the boogie and the cha-cha-cha
But on Friday, on Friday you're dancing with Ben
Saturday with someone I don't even know That's how it is every night (That's how it is every night)
That's how it is every night (That's how it is every night)
I've never, never thought that of you But if you were thinking I've been sitting at home
I've been going out with someone else every day That's how it is every night (That's how it is every night)
That's how it is every night (That's how it is every night)
You've never, never thought that of me"
Il est là,"I can't change my life, he's there
As soon as I run away from him, he's there
Whatever I do, whatever I say
I only see his smile
Which always seems to say to me:
""I'm there, I'm there"" Clung in all my dreams, he's there
And forcing my attention unremittingly, he's there
He has the power of a devil
Who rules over his fellows
But what a wonderful power
He's there, he's there I've tried everything to forget him
I've crossed the whole world
But no man has given me
Such a part of eternity I can't change my life, he's there
As soon as I run away from him, he's there
He's extraordinary
And how he knows to please you then
No, there's nothing to do
 He's there, he's there Everywhere his eyes, everywhere his lips
I feel like I have a fever inside of me
My whole being is destroyed
And all the time I repeat to myself: I can't change my life, he's there
As soon as I run away from him, he's there
Whatever I do, whatever I say
I only see his smile
Which always seems to say to me
""I'm there, I'm there"" When I'm walking in the street, he's there
In the middle of the crush, I see him
He has a hold on me
Which frightens me and carries me away
And my desire breaks down
He's there, he's there Oh, I really tried everything
Forever able to do without
His body and his kisses
It's impossible not to love him I can't change my life, he's there
As soon as I run away from him, he's there
And until my last hour
Until my last quarter
Only one thing will remain I will see him there in front of me
He will be there forever
He's there, he's there, he's there
He's there He's there"
Les amants de minuit,"Midnight lovers, by chance meet together
By chance meet together
And, about what will follow, happiness or unfortunate
Only knows the night At the corner of two streets, at a café tables
On the avenue, two shadows had come
And then, the die is cast No pointless words, no lost kisses
No lost kisses
No difficult confessions, nor dejected heart
Nor disappointing romance At dawn no return
Lovers unlearn their names and their loves
It is quite the equal of mine, worn out by so many days. Midnight lovers, by chance meet together
By chance meet together
And, about what will followed, happiness or unfortunate
Only knows the night And if their heart gave themselves a little more than one night
There will be nobody, nobody between her and him
To shout them misdeal Midnight lovers, by chance meet together
By chance meet together"
Amami se vuoi,"I really like caressing you
Kissing your shy eyes
But I don't feel like swearing
If you ask me for eternal love Let's give ourselves up to destiny
He's the only one who can't cheat
And if I stay near you
Don't flatter yourself, but don't despair, no Love me if you want to, hold me if you can
I'm the love that fades away
But never trust my kisses
I'm the love that hurts And when you hold me softly in your arms
Even more softly, I'll say to you:
""Love me if you want to, hold me if you can
Because I'm like this"" And if I stay near you
Don't flatter yourself, but don't despair, no Love me if you want to, hold me if you can
I'm the love that fades away
But never trust my kisses
I'm the love that hurts And when you hold me softly in your arms
Even more softly, I will say to you:
""Love me if you want to, hold me if you can
Because I'm like this"""
Straatdeuntje,"Along the streets, a tune is dancing
And for a moment I stand still
Where is that pretty tune
All of a sudden coming from? It's playing in the trees
Frolicking in the wind
It can't be bridled
It's soon becoming my friend Along the streets, a tune is floating
It's as if a sunbeam
Is penetrating with that pretty tune
Into the most little portal Tralalala tralala tralalala...
Tralalala tralala tralalala... Along the streets, a tune is dancing
It's heard by young and old
Oh, how such a simple tune
Can become indispensable so quickly It knocks on the windows
Asks: ""Let me in""
I can easily whistle it
It makes me good-humoured Along the streets, a tune is floating
It follows me everywhere
And I hope that this pretty tune
Will always remain my friend Tralalala tralala tralalala...
Tralalala lalala tralalala..."
Amours mortes (Tant de peine),"Dead loves
You, that I love
You made me so much sad
How to erase
The passing days?
So much sadness
Whole days long I'm hanging around
Begging to my remembrance
A little bit from you
Your voice in a dream
I remember
Whispered unremittingly
Didn't ask nothing
You were so tender
This summer night
How to forbid myself
To not listen?
You, that I love
You made me so much sad
How to erase
The passing days?
Nobody any more
And my monotonous life
Is marking out every days
Without your love
Without you I'm shivering
Looking for your hand
In the autumn night
I'm hoping, in vain
And nevertheless really
My life inside of me
Scream to me: I only love
Only love you
You, that I love
You made me so much sad
How to erase
The passing days?
Your voice, your lips
Imprisoned my fever
But how to erase
The passing days?"
All,"All the golden dreams of yesterday
All the fragrance of a bygone May
All the words two hearts in love can say
All you'll ever mean to me, my darling

All we've shared throughout the passing years
All the laughter, all the sighs, the tears
All the joy of living, loving and forgiving
These are all to me

All the laughter, all the sighs, the tears
All the joy of living, loving and forgiving
These are all to me"
Corde della mia chitarra,"She has returned
The same things welcomed her
The same roses anticipated her
Sweet green-eyed dream
She has returned, but too late
Too late for the one who waited

Strings of my guitar
If my hand trembles on the chord
If the music gets lost
In the indifference of a glance

Strings of my guitar
Why do you stop?
Why are you silent?
You alone, to me
Ah, how lovely that music was
Ah, and how useless it seems now
If she doesn't listen to us, don't stop
Strings of my guitar
Sound for me

Strings of my guitar
Why do you stop?
Why are you silent?
You alone, to me
Ah, how lovely that music was
Ah, and how useless it seems now
If she doesn't listen to us, don't stop
Strings of my guitar
Sound for me

Sound
Sound
Strings of my guitar"
"Wohin, kleines Pony?","Where, little pony, do we want to ride to?
Where should my song accompany us today?
To your herds, the little horses?
There the valleys are immensely wide Where, little pony, do we want to ride to?
Where should my song accompany us today?
To the green pasture, there in the moorland
Where once I've kissed, at the time of roses Today is a day only for both of us
And you and me are carefree
Who else sees the world as beautiful
As beautiful as we see it? Where, little pony, do we want to ride to?
My song will truely acompany both of us
And through the fields, the wide fields
It sounds in the wind, how happy we are Today is a day only for both of us
And you and me are carefree
Who else sees the world as beautiful
As beautiful as we see it? Where, little pony, do we want to ride to?
My song will truely acompany both of us
And through the fields, the wide fields
Sounds for both of us, my herippihei"
Net als toen,"Don’t be so drowsy with that eternal paper
 Don’t yawn from sleep or boredom
 I’m your wife and I eat out of your hand
 But I don’t eat from charity Don’t look at me as if you think, “are you still alive?”
Am I still that woman
 With whom you once – when was it again?
 Wanted to have that little adventure at all costs? Be nice once again, just like then
 Ask me once again for a kiss
 Bring me roses again, blush again
 When you see me, just like then Be nice and gallant once again
 Find me beautiful and charming again
 Then the world will be just like before
 A fairyland Yes, you’re getting fat and your hair is turning grey
 But you still can flirt, believe me
 Ah, sometimes you act like a child, so silly
 Gruff and wanton by turn Do you remember? Do you remember? Don’t say no now
 Do you remember, that you said then?
 The happiest couple, that’s the both of us
 My love, dearest darling, never ends Be nice once again, just like then
 Ask me once again for a kiss
 Bring me roses again, blush again
 When you see me, just like then Be nice and gallant once again
 Find me beautiful and charming again
 Then the world will be just like before
 A fairyland"
"Telefon, Telefon","Telephone, telephone
Whenever I hear your call
I ask myself at the first ring
What news it will give me Telephone, telephone
Time is passing by quietly
I've been waiting for a long, long time already
The same way today as yesterday You know my greatest desire
For the most beautiful thing in the world
Which will keep my heart and soul
In suspense, all day and night Telephone, telephone
I've been alone for a long time
Tell, when will I be
Rewarded with happiness? ""Hello? How do you do?""
""Hello! Thank you!""
That's what I can hear from all countries in the worl
""Hello? Thank you, yes, yes""
""Hello! You're welcome!""
""No, sir, my heart is already spoken for"" Telephone, telephone
Telephone, telephone You know my greatest desire
For the most beautiful thing in the world
Which will keep my heart and soul
In suspense, all day and night Telephone, telephone
I've been alone for a long time
Tell, when will I be
Rewarded with happiness?"
La belle amour,"If you love nature
Lilacs, little birds
Muscadet, fried foods
And beautiful adventures
Follow the water's edge

You will see a tavern
Where you can get drunk
With the tunes of a musette ball
Lisette's clear eyes
Before deciding
To dare everything in a kiss

As water flows at the source
This song
It's the song that girls and boys
Each sing in their own way
It will be, that's for sure
In every heart
And forever
The song of beautiful love

Let's sing it again under the lilacs
And lon-lon-la here and there
It's beautiful love

Meanwhile autumn has arrived
The tavern with closed windows
Has no one in love anymore, nobody comes
When it's time
To dream on the water's edge

It's the ball of the dead leafs
That danse on the gravel
And that go from door to door
With the wind that carries them
Swirled by thousands
Waiting for what, springtime?

Let's sing it again under the lilacs
And lon-lon-la here and there
It's beautiful love
Beautiful love"
Skibet skal sejle i nat,"Goodbye then, my lass, stay well
I confess, my heart gives kind of a twinge
While I'm kissing you now
I love you
But the ship is leaving tonight
But the ship is leaving tonight We met in fun, we courted a little
But what was carelessness, suddenly became serious
And you became everything to me
Now there's only you
But the ship is leaving tonight
Yes, the ship is leaving tonight We're making a plan, we're dreaming a dream
We're fighting forward, despite head wind and current
Towards what we want so badly
Then suddenly we see
That the ship is leaving tonight
Yes, the ship is leaving tonight Evening in the sign of the new moon
Two standing in the dark on the quay
Girl and man
One from the sea, one from land
Everything is said, now they're just standing there
In silence
Finally she says: Goodbye then, my friend, take care of yourself
I think, you've been so nice and fair
And I'll be faithful to you
My life became the two of us
But the ship is leaving tonight
But the ship is leaving tonight Although I'm yours, with mind and body
And now I can make a fuss and resist
Against what I know will happen
And cry and beg
For the ship is leaving tonight
Yes, the ship is leaving tonight Suddenly the world stops
You hear the signal bell sounding
Your hopes lie broken, every single one
We humans mean so little The happiness, we think is firm and solid
It's only on an indefinite shore leave
For everything, we own, must go
We think, it is ours
But the ship is leaving tonight
Yes, the ship is leaving tonight"
L'enfant que j'étais,"The child that I was, where does she play today?
The flowers that I used to love, who picked them for me?
My heart, do you remember the white dresses?
On the lost way of our Sundays
Words to sing a friend's face
Nights to dream I was rich
When the heart on the watch, the straggling lock
Goes to school, the child that I was. Winter time, wrinkle takes you
Love time, and we're growing
Much water had flowed under the bridge
Forgotten dreams with the passing seasons A smile time and we are in love
Time to lie and yet we are old The child that I was, where is he straying?
The flowers I used to love, who had made them fake?
My heart, do you remember our promises?
Life didn't want your tenderness Words to love, hopes and nights.
Golden lies, I was so rich
When the heart on the watch, love in head
Going to the fair, the child that I was."
Nel blu dipinto di blu (Volare),"I think that a dream like this
won't come back anymore.
I was painting my hands
and my face blue.
Then suddenly I was being
enraptured by the wind.
And I was beginning to fly
in the endless sky. To fly, oh, oh!
To sing, oh, oh, oh, oh!
In the blueness, painted in blue.
Happy, to be up there.
And I was flying, was flying
happily, higher than the sun
and still higher.
While the world slowly, slowly
was disappearing far away down there
a sweet music was playing
just for me. To fly, oh, oh!
To sing, oh, oh, oh, oh!
In the blueness, painted in blue.
Happy, to be up there. But all the dreams,
at dawn, disappear because,
when the moon sets,
it takes them away.
But I continue to dream
in your beautiful eyes
that are blue like a
star-studded sky. To fly, oh, oh!
To sing, oh, oh, oh, oh!
In the blueness of your blue eyes.
Happy, to be down here.
And I continue to fly happily,
higher than the sun
and still higher.
While the world
slowly, slowly disappears
in your blue eyes
your voice is a sweet music
playing for me. To fly, oh, oh!
To sing, oh, oh, oh, oh!
In the blueness of your blue eyes.
Happy, to be down here.
In the blueness of your blue eyes.
Happy, to be down here,
with you."
Heel de wereld,"I must tell my secret to the whole world
Because I’m happy
The whole world is now twice as important to me
Because now I know what happiness is
But isn’t this world too busy?
Who still has time for happiness?
Yet I want to cheer because
I must tell my secret to the whole world
Because I’m happy Shall I write cards to let everyone know?
Shall I advertise in the paper?
It doesn’t matter for me how I tell it
But it must be known throughout the country But isn’t this world too busy?
Who still has time for happiness?
Yet I want to cheer because
I must tell my secret to the whole world
Because I’m happy"
"Dors, mon amour","Sleep, my love
 The sun is still far from the day
 We have all the time to love
 And the night understands us Sleep, my love
 Protected by my arms that surround
 Your sleep with a curtain of happiness
 Sleep onto my heart I’m a king
 That holds his whole kingdom in his fingers
 And that shivers of seeing fall down
 This enchanted kingdom Sleep, my love
 My princess, locked up in her tower
 With all the refrains of the night
 My sleepy princess I’m following your soul step by step on its way of joy
 And I amuse myself by leaning over your starry sleep Sleep, my love
 The sun is still far from the day
 We have all the time to love
 And the night understands us Sleep, my love
 Protected by my arms that surround
 Your sleep with a curtain of happiness
 Sleep onto my heart I hear the voice
 Of your life that beats so close to me
 And I feel like a very gentle blow
 That caresses my cheek Sleep, my love
 My princess, locked up in her tower
 I see the morning smile
 Here’s the sun of tomorrow
 The great sun of the eternal love"
Un grand amour,"A big love, it begins
Without being thought of most of the time
And we listen to a romance
Born from an emotional silence

Because you know that when we love each other
Words are too much
What's the use of dreaming of a poem?
The most recent moment ist just as beautiful

Eyes that get lost quickly
And then they are hesitant to come back
To the eyes that are looking for them
And that are enticing them to smile at them

Here is how love rises
And how it makes you do crazy things
We don't live love in prose anymore
We turn it into poetry

A big love, oh dear, comes to an end
Like a beautiful dream in a sigh
Once again grief encloses you
The comofortable rest has just ended

It won't matter that life is short
And that its drive slows down one day
If friendship takes over
When a big love comes to an end

If friendship takes over
When a big love comes to an end"
Lilla stjärna,"La la la la la la la la la...
la la la la la la la la la...
La la la la la la la la la...
la la la la la la la la la... Night over countryside and town, sleeping houses
The windows glitter, because of the star light
A girl standing by the window, looking up to the blue
Just fifteen years old, but still she's thinking Little star up above, answer me, answer me
Is he coming, the man that I will love?
Yes, you'll probably know who he is
You probably know whom I am talking about
Will I read in his eye, the same answer, the same answer
That I think I see you twinkling to me now
You, little star? Is he coming? Is he coming?
Yes, you'll probably know who he is Will I read in his eye, the same answer, the same answer
That I think I see you twinkling to me now
You, little star?"
Jeg rev et blad ud af min dagbog,"When you left in anger, I regretted
The fault was mine - reason, well... it tricked me
What we had together, was beautiful and great
Do you know what I've done today? I tore a leaf out of my diary
Every little word I regret, my dear
What's the use, that I'm wise afterwards
If you think, everything must come to an end? Try to forgive me, even if it is hard
Then I'll promise you, that it will never happen again
I tore a leaf out of my diary
You do the same, my friend If you hate me, really, you have a reason
My jealousy, I was more than mean
Do try to forgive, that I was bad
And if you're great enough, well then forget I tore a leaf out of my diary
Every little word I regret, my dear
What's the use, that I'm wise afterwards
If you think, everything must come to an end? Try to forgive me, even if it is hard
Then I'll promise you, that it will never happen again I tore a leaf out of my diary
You do the same, my friend
You do the same, my friend"
Ma petite chatte,"I had a bad day
That may happen to you tomorrow
I was randomly walking the streets
Aimlessly and without thinking of anything

When I saw down there
Who was approaching me
You didn't believe me
But now you can see it's true

She held all the trump cards in her game
And she had elegance to the tip of her fingers
Arguments, as much as you want, here they are
That made me all giddy with excitement

She had kind of a funny look
That made her look like she wasn't one of those
She smiled at me
Sure of the effect she had

I didn't believe that there could be
Toys like that on earth
It was a dream to see that little sweetheart
Not any higher than that

With wicked eyes
Like those that are told about in songs
And everything that is needed
To be liked by the boys

And it was a romantic novel
A story with a happy ending
Because it happened the way it always does
I married her one beautiful morning

And when the evening had come
I wanted to imagine
That it is unbelievable
But I'll let you know

She had many arguments and trumps in her game
That I never returned from there
In the blink of an eye
She made me all giddy with excitement

She had kind of a funny look
That made her look like she wasn't one of those
She smiled at me
Sure of the effect she had

I didn't beleive that there could be
Toys like that on earth
It was a dream to have that little sweetheart
Cuddled up to me

With wicked eyes
Like those that are told about in songs
And everything that is needed
To be liked by the boys

But yes
And everything that can make you
Lose your mind
Mmm...
And everything that can't be
Told in songs"
Für zwei Groschen Musik,"Music for two pennies
Music for two pennies
And everyday life vanishes
When happy music is heard

Music for two pennies
Music for two pennies
And for that little money
A world belongs to you

Do you want quiet music?
Do you want hot music?
Or do you think that a minor key
Is just wonderful?

Music for two pennies
Music for two pennies
And for that little money
A world belongs to you

Music for two pennies
Music for two pennies
And everyday life vanishes
When happy music is heard

Music for two pennies
Music for two pennies
And everyday life vanishes
When happy music is heard

Do you want Dixieland music?
Or songs from the Rhine?
Or does anyone prefer
Verdi's operas?

Music for two pennies
Music for two pennies
And for that little money
A world belongs to you

Music for two pennies
Music for two pennies
Music for two pennies
Music for two pennies
And for that little money
A world belongs to you

Here is the man on the piano
Here is the marsh, that's how we are
Here is the woodsman who sings
When the bell of his homeland chimes

Music for two pennies
Music for two pennies
And for that little money
A world belongs to you"
Die ganze Welt braucht Liebe,"The whole world needs love
Who enjoys being alone?
A little bit of love
Why would it be different to me?

In the world's big mechanism
Even the smallest stone has got
Another little stone
Could it be different to me?
No!

My heart is longing, too
And it needs another heart
That tries to understand
In happy times, and also in painful ones

The world would be cold and dull
If she weren't kissed by sunshine
And every heart needs love
Could it be different to me?
No!
It can't be any other way

The cheek wants to be caressed
The mouth needs tenderness
The hand, it wants to be stroked
It is that way today and it has always been
The whole world needs love

My heart is longing, too
And it needs another heart
That tries to understand
In happy times, and also in painful ones

The world would be cold and dull
If she weren't kissed by sunshine
And every heart needs love
Could it be different to me?
No!
It can't be any other way"
Giorgio,"Oh Giorgio, Giorgio
Oh Giorgio from the lake Maggiore
Giorgio, a weekend with you in Ascona
In Ascona at the lake Maggiore
With chianti, chianti, chianti, chianti, chianti
A weekend with you and risotto
Risotto, risotto, risotto, risotto, risotto, risotto
Oh Giorgio, a weekend with you in Ascona
In Ascona at the lake Maggiore with love, much love
Oh Giorgio, Giorgio A restaurant at the public square – “Waiter!”
“Sir, Madam, would you like an espresso?”
“No – wine!” Oh Giorgio, Giorgio
Oh Giorgio from the lake Maggiore
George, a weekend with you in Ascona
In Ascona at the lake Maggiore
With chianti, chianti, chianti, chianti, chianti A weekend with you and polenta
Polenta, polenta, polenta, polenta, polenta, polenta
Oh Giorgio, a weekend with you in Ascona
In Ascona at the lake Maggiore with love, much love
Oh Giorgio, Giorgio A night under the moon
A boat – the lake, the mountains and the palms
Gardens, flowers, mimosa Oh Giorgio, Giorgio
From the lake Maggiore in Ascona
In Ascona at the lake Maggiore
Lalala lalala lalalala… My beloved! My beloved!
Goodbye! Goodbye my beautiful, beautiful, blonde woman!
Goodbye, bye Giorgio Oh Giorgio, Giorgio
Lala lalala lalala lalalala…
Lalala lalala lalalala…
Oh Giorgio, Giorgio"
"Oui, oui, oui, oui","Yes, yes, yes, yes, yes, yes, yes
We'll take a world tour
With my three pretty masts
Yes, yes, yes, yes, yes, yes
We'll have more for friends
Than the broken vagabond
And the afternoon sun
Yes, yes, yes, yes, yes, yes Go, my boat, go
Your mast dances, your sail flaps
Go, my boat, go
For her and me, sail there Yes, yes, yes, yes, yes, yes, yes
You chose the most beautiful scale
And I offer you a paradise
Yes, yes, yes, yes, yes, yes Do you want the Capri sky
Or the palaces of Bengal
Or the Hawaiian sun
Yes, yes, yes, yes, yes, yes Go, my boat, go
Your mast dances, your sail flaps
Go, my boat, go
For her and me, but see here My boat is quite small
It sleeps in a bottle
And I, I dream with it
Yes, yes, yes, yes, yes, yes When the night comes, we leave
To discover a thousand wonders
That I don't know the names of
No, no, no, no, no, no Go, my boat, go
Your mast dances, your sail flaps
Go, my boat, go
For her and me, sail there One day my three pretty masts
Will take me far from here
To a marvelous country
Yes, yes, yes, yes, yes, yes"
"Uh, jeg ville ønske jeg var dig","If one loves fully
If one loves entirely
There are no doubts
And one is faithful
Faithful to love
I want to be loved that way again
Therefore listen to me
My friend

Because ooh, I'd wish I were you
Ooh, I would love myself so much
Caress my cheek
And stroke my hair
And promise me the moon and the stars
Thousands of kisses
And thousands of caresses
I'd allow that myself

So ooh, I'd wish I were you
Ooh, I would embrace myself
What a sough
And what a life
And what an outlook
Yes, ooh, I'd wish I were you

That's why I ask you:
""Did you go the same way?""
And did you find yourself
In the kissing game
If, then again, you were me
At the age of ninety
We would say: ""Who is who?""
You enchanting guy
Now I am singing:
Da du da da dai da du

So ooh, I'd wish I were you
Ooh, but if you propose to me one day
I will say: ""You!""
""It happened the way it was supposed to""
So you will marry me
So ooh, it will have been good that you were you

That's why I ask you:
""Did you go the same way?""
And did you find yourself
In the kissing game
If, then again, you were me
At the age of ninety
We would say: ""Who is who?""
You enchanting guy
Now I am singing:
Da du da da dai da du

So ooh, I'd wish I were you
Ooh, but if you propose to me one day
I will say: ""You!""
""It happened the way it was supposed to""
So you will marry me
So ooh, it will have been good that you were you"
